LEAID,ZIP,LAT,LON
0100002,36057,32.376397,-86.084642
0100005,35950,34.282186,-86.223627
0100006,35976,34.30577,-86.286958
0100007,35243,33.4062,-86.7669
0100008,35758,34.686721,-86.745741
0100009,35160,33.43196,-86.098534
0100010,36604,30.686571,-88.065476
0100011,35094,33.54981,-86.535921
0100012,35957,34.21315,-86.159891
0100013,35173,33.617396,-86.618612
0100015,36761,32.11162,-87.077608
0100016,35401,33.207565,-87.538057
0100018,35203,33.520933,-86.812936
0100019,35211,33.433243,-86.874829
0100020,35074,33.22599,-87.122217
0100021,35404,33.18708,-87.48217
0100022,35618,34.670787,-87.312122
0100024,35763,34.579414,-86.440997
0100026,36083,32.374834,-85.661814
0100028,35188,33.163401,-87.187669
0100030,35010,32.940361,-85.957909
0100033,35242,33.48039,-86.665128
0100035,36830,32.600491,-85.464089
0100036,36801,32.642141,-85.428184
0100037,36693,30.624823,-88.177804
0100038,36331,31.422718,-85.901981
0100039,35160,33.4327,-86.086728
0100040,36104,32.38493,-86.290431
0100041,35007,33.218566,-86.827495
0100042,36301,31.203814,-85.38462
0100043,35904,34.072451,-86.019739
0100060,36421,31.327923,-86.482833
0100090,36206,33.708165,-85.822863
0100100,35016,34.328111,-86.487787
0100120,35611,34.8092,-86.949816
0100175,36617,30.704663,-88.082939
0100176,36022,32.582667,-86.391816
0100178,35212,33.548911,-86.730571
0100179,35901,34.071923,-85.979239
0100180,35954,33.998996,-86.108597
0100181,36441,31.006675,-87.268202
0100183,35210,33.58486,-86.646003
0100184,35901,34.011773,-86.02093
0100185,36571,30.862118,-88.126675
0100186,36108,32.352192,-86.328259
0100187,36110,32.425143,-86.286837
0100188,36611,30.763732,-88.075055
0100189,36572,30.849239,-88.067799
0100190,35007,33.226138,-86.824059
0100191,35405,33.208576,-87.545482
0100192,36116,32.289712,-86.261669
0100193,36618,30.721769,-88.141573
0100194,35124,33.287785,-86.811329
0100195,36117,32.355003,-86.102682
0100197,36608,30.672421,-88.138607
0100198,36104,32.37078,-86.31163
0100199,35470,32.586288,-88.189067
0100200,35601,32.638835,-85.404667
0100201,35214,33.553991,-86.872386
0100202,36542,30.269665,-87.682647
0100203,36116,32.341405,-86.223619
0100204,35212,33.537508,-86.763339
0100207,36108,32.352192,-86.328259
0100208,35756,32.607571,-87.335131
0100210,36830,32.59894,-85.464121
0100211,35233,33.470676,-86.829899
0100212,35814,34.722456,-86.685917
0100213,35020,33.397344,-86.956911
0100240,36067,32.46275,-86.474211
0100270,36507,30.912515,-87.787491
